* Measurement data measured by REW V5.20.3
* Source: Input device not selected, no input selected, R, volume: 0,000. Timing signal peak level -38,0 dBFS, measurement signal peak level -27,0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 13.09.2022 17:18:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0,7512 ms (258 mm, 10,14 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: Sep 133
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.145 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
206.001556 63.604 26.1353
207.494324 67.031 48.9287
208.997925 70.268 53.0469
210.512405 72.754 45.8516
212.037857 74.611 34.0845
213.574371 75.985 20.9172
215.122025 77.039 7.4404
216.680893 77.901 -6.3101
218.251053 78.553 -20.8721
219.832581 78.899 -36.4814
221.425583 78.874 -52.6145
223.030121 78.444 -68.5134
224.646286 77.558 -82.9575
226.274170 76.197 -93.7603
227.913849 74.552 -98.1025
229.565399 73.572 -95.8623
231.228928 74.275 -94.3027
232.904510 75.576 -101.5896
234.592224 76.314 -117.5767
236.292191 76.262 -137.8643
238.004456 75.392 -158.6914
239.729126 73.632 -175.9995
241.466309 71.061 174.7700
243.216080 68.344 174.3462
244.978516 67.279 176.7178
246.753738 68.709 170.7952
248.541809 70.787 147.1282
250.342850 72.352 106.0095
252.156937 73.391 56.1501
253.984161 74.208 7.2893
255.824646 74.895 -34.7788
257.678467 75.492 -68.2998
259.545685 76.183 -95.1309
261.426483 76.957 -119.3740
263.320862 77.480 -144.0173
265.229004 77.492 -168.9685
267.150970 76.989 167.1421
269.086853 76.033 145.4722
271.036774 74.756 127.2229
273.000824 73.597 112.2534
274.979095 73.291 96.6450
276.971710 73.871 73.8416
278.978760 74.601 40.5640
281.000336 75.079 -2.1440
283.036591 75.166 -51.3062
285.087585 74.823 -103.5410
287.153442 73.981 -158.8142
289.234283 72.433 137.6631
291.330200 70.423 60.6558
293.441284 70.188 -23.7729
295.567688 72.139 -99.6650
297.709503 73.400 -159.5186
299.866821 72.970 159.9333
302.039795 71.526 144.8914
304.228485 71.776 144.7036
306.433044 73.828 135.8643
308.653595 75.426 112.7480
310.890228 75.678 83.4233
313.143066 74.555 62.1958
315.412231 73.681 52.9077
317.697845 74.381 37.9106
320.000000 75.003 8.8198
322.318848 74.875 -29.6804
324.654510 74.212 -78.8931
327.007080 72.943 -144.8711
329.376709 70.841 131.1870
331.763519 68.066 36.5996
334.167603 65.560 -55.3594
336.589142 65.007 -132.7285
339.028198 66.140 168.0415
341.484924 67.142 124.0762
343.959473 67.506 92.5820
346.451935 67.457 71.0073
348.962463 67.479 58.6675
351.491211 68.614 52.3809
354.038239 70.427 42.0991
356.603760 71.839 24.4321
359.187866 72.693 2.3350
361.790680 72.808 -22.6294
364.412354 71.846 -46.0596
367.053040 69.757 -59.8340
369.712860 67.284 -58.0859
372.391968 66.964 -46.2261
375.090454 69.016 -42.2036
377.808533 70.582 -53.7520
380.546265 71.237 -69.9937
383.303864 71.889 -83.8892
386.081451 72.776 -99.5723
388.879150 73.227 -120.0962
391.697144 72.878 -142.0474
394.535522 71.950 -161.9839
397.394501 70.796 179.0176
400.274170 69.243 160.8237
403.174744 66.888 149.9995
406.096313 64.347 143.8691
409.039062 63.020 109.1069
412.003113 62.473 22.2939
414.988647 63.525 -84.6250
417.995850 64.950 -162.2397
421.024811 64.887 154.7275
424.075714 63.374 137.8906
427.148743 62.418 135.8481
430.244049 63.042 126.8296
433.361786 62.979 106.5879
436.502106 61.098 96.9102
439.665161 58.217 113.4731
442.851166 58.023 135.4941
446.060242 61.342 145.9468
449.292572 64.628 139.5874
452.548340 66.132 115.4365
455.827698 66.034 90.2188
459.130798 66.392 72.0337
462.457855 67.820 41.6602
465.809021 68.512 -15.8257
469.184448 67.751 -95.3462
472.584381 66.424 -176.7905
476.008911 66.106 116.7949
479.458252 66.051 70.2656
482.932617 66.079 43.6748
486.432159 67.224 25.6875
489.957031 68.941 5.8418
493.507477 70.874 -16.8027
497.083618 72.613 -44.8330
500.685699 73.711 -78.1572
504.313873 74.256 -113.6460
507.968323 74.059 -149.9761
511.649292 72.681 -179.7344
515.356934 70.589 165.9819
519.091370 69.796 156.5381
522.852966 69.967 138.1025
526.641724 69.400 115.7168
530.458008 67.874 99.6348
534.301941 66.060 99.0122
538.173706 66.243 110.1357
542.073547 68.105 110.4512
546.001648 69.585 98.9531
549.958191 71.477 88.0000
553.943420 73.509 70.3018
557.957520 74.057 40.8516
562.000671 72.644 15.6367
566.073181 69.887 9.1543
570.175171 68.049 14.1890
574.306885 68.691 14.8408
578.468567 70.110 5.2427
582.660400 71.162 -16.4805
586.882568 71.362 -57.4961
591.135376 70.428 -126.4893
595.419006 70.238 143.9204
599.733643 72.058 62.8066
604.079590 73.649 8.1274
608.456970 74.386 -26.9395
612.866089 74.082 -51.0825
617.307190 73.207 -60.6934
621.780457 73.844 -62.6411
626.286133 75.298 -74.4937
630.824463 76.088 -95.5439
635.395691 76.158 -119.3740
640.000000 75.436 -142.9180
644.637695 73.986 -163.0112
649.309021 72.238 179.3838
654.014160 70.522 157.1147
658.753418 68.619 114.4761
663.527039 66.000 33.1099
668.335205 64.440 -89.8750
673.178284 64.906 126.4883
678.056396 66.519 -14.7339
682.969849 68.244 -117.4478
687.918945 68.967 -173.3223
692.903870 69.384 153.0288
697.924927 69.696 115.9546
702.982422 69.242 61.5762
708.076477 68.083 -13.1606
713.207520 67.631 -98.4463
718.375732 68.089 -176.4517
723.581360 67.895 115.7612
728.824707 66.845 37.5830
734.106079 67.358 -78.6865
739.425720 69.846 152.9214
744.783936 71.541 60.0874
750.180908 71.508 4.5488
755.617065 70.482 -16.9692
761.092529 71.231 -28.5127
766.607727 72.693 -53.7910
772.162903 73.458 -84.1240
777.758301 73.890 -112.8975
783.394287 73.845 -141.5527
789.071045 72.997 -168.0332
794.789001 71.064 176.1543
800.548340 69.044 176.1309
806.349487 68.983 176.4629
812.192627 69.335 169.2100
818.078125 69.589 166.6035
824.006226 70.971 165.6963
829.977295 72.545 156.3252
835.991699 73.689 141.0908
842.049622 74.152 124.4590
848.151428 74.568 111.3008
854.297485 75.505 95.1016
